number,line_class,design_code,design_temp_range_deg_c,material,rt_ut_nde_percent,mt_pt_nde_percent,nde_percent,ht_max_value,pmi_percent,comments,line_class_normalized,content
1,150A20,ASME B31.3,-40 / 200,Alloy 20,5 BW/SKT,5 BW/100 SKT,0,,100,,150A20,Pipe line class 150A20. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Alloy 20. PMI 100.0.
2,150B01,,5 / 75,CS BITUM COATED,5 BW/SKT,100 SKT,0,,,,150B01,Pipe line class 150B01. Design temperature range 5 / 75 deg C. Material CS BITUM COATED.
3,150B02,,5 / 38,CS GALV BITUM COATED,,,0,,,,150B02,Pipe line class 150B02. Design temperature range 5 / 38 deg C. Material CS GALV BITUM COATED.
4,150B901,ASME B31.3,-20 / 75,Glass Reinforced Epoxy,See Note 3,See Note 3,0,,,,150B901,Pipe line class 150B901. Design code ASME B31.3. Design temperature range -20 / 75 deg C. Material Glass Reinforced Epoxy.
5,150C60,ASME B31.3,,CS+inclonel 625 CLAD (API 5LD),100 BW/5 SKT,100 BW/SKT,0,,100,SGP Flare Header,150C60,Pipe line class 150C60. Design code ASME B31.3. Material CS+inclonel 625 CLAD (API 5LD). PMI 100.0. Comments SGP Flare Header.
6,150C80,ASME B31.3,-46 / 200,Inconel 825,100 BW/5 SKT,100 SKT,0,,100,,150C80,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material Inconel 825. PMI 100.0.
7,150CP2,ASME B31.3,-36 / 150,LTCS PTFE Lined,,,0,,,,150CP2,Pipe line class 150CP2. Design code ASME B31.3. Design temperature range -36 / 150 deg C. Material LTCS PTFE Lined.
8,150D01,ASME B31.3,-46 / 100,Super Duplex UNS S32760,5 BW/SKT,100 SKT,0,,100,,150D01,Pipe line class 150D01. Design code ASME B31.3. Design temperature range -46 / 100 deg C. Material Super Duplex UNS S32760. PMI 100.0.
9,150E01,,440 max,1.25 Cr - 0.5 Mo,100 BW/5 SKT,100 SKT,0,,100,,150E01,Pipe line class 150E01. Design temperature range 440 max deg C. Material 1.25 Cr - 0.5 Mo. PMI 100.0.
10,150H0G,ASME B31.3,-46 / 300,LTCS,5 BW/SKT,100 SKT,0,,,,150H0G,Pipe line class 150H0G. Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS.
11,150H01 (A),ASME B31.3,-46 / 300,LTCS,5 BW/SKT,100 SKT,0,,,,150H01A,Pipe line class 150H01 (A). Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS.
12,150H01 (B),ASME B31.3,-46 / 300,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,,150H01B,Pipe line class 150H01 (B). Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS.
13,150H03,ASME B31.3,-46 / 300,LTCS,5 BW/SKT,100 SKT,0,,,,150H03,Pipe line class 150H03. Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS.
14,150H04,ASME B31.3,-46 / 300,LTCS,5 BW/SKT,100 SKT,0,,,,150H04,Pipe line class 150H04. Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS.
15,150H05 (A),ASME B31.3,-46 / 65,LTCS,5 BW,0,0,,,,150H05A,Pipe line class 150H05 (A). Design code ASME B31.3. Design temperature range -46 / 65 deg C. Material LTCS.
16,150H05 (B),ASME B31.3,-46 / 65,LTCS,5 BW,0,100,200HB,,,150H05B,Pipe line class 150H05 (B). Design code ASME B31.3. Design temperature range -46 / 65 deg C. Material LTCS.
17,150H06,ASME B31.3,5 / 75,LTCS GALV,,,,,,,150H06,Pipe line class 150H06. Design code ASME B31.3. Design temperature range 5 / 75 deg C. Material LTCS GALV.
