Title,REV,NOTE,ITEM_NAME,ITEM_CODE,DESCRIPTION,LINE_CLASS,low_size_1,high_size_1,low_size_2,high_size_2,Unit,SEQ_NO
bb_fgp,,FAX,,,,10000A60,,,,,BB,10
bb_fgp,U04,"VAX, 817",BALL,M10TL14-A60,MODULAR VALVE DB&B BALL TYPE 10000 CF X RTJ (BX TYPE) INCONEL 625 BODY AND TRIM METAL LO - CONTROLLED BORE TYPE 2BVR,10000A60,2,2,0,0,BB,70
bb_fgp,,817,FLANGE,5619916,FLG COMPACT 10000# RJ BORE 128.3MM ALLOY 625 B564 UNS N06625,10000A60,6,6,0,0,BB,780
bb_fgp,,,FLANGE,5563382,FLG WN 1500# RF 2-1/4CR F22M WT 30.0MM,1500F22,18,18,0,0,BB,2010
bb_fgp,,,INDUC BEND,9001818CTD,INDUCTION BEND 90 DEG X 5D RADIUS WT 10.31 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,28,28,0,0,BB,2280
bb_fgp,U04,,INDUC BEND,9007034CTD,INDUCTION BEND 90 DEG X 10D RADIUS WT 7.92 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,18,18,0,0,BB,2290
bb_fgp,U04,,INDUC BEND,9007035CTD,INDUCTION BEND 90 DEG X 10D RADIUS WT 8.74 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,20,20,0,0,BB,2300
bb_fgp,,,INDUC BEND,9001820CTD,INDUCTION BEND 45 DEG X 5D RADIUS WT 6.02 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,4,4,0,0,BB,2310
bb_fgp,,,INDUC BEND,9001823CTD,INDUCTION BEND 45 DEG X 5D RADIUS WT 6.35 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,6,10,0,0,BB,2320
bb_fgp,,,INDUC BEND,9001824CTD,INDUCTION BEND 45 DEG X 5D RADIUS WT 7.14 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,12,14,0,0,BB,2330
bb_fgp,,,INDUC BEND,9001825CTD,INDUCTION BEND 45 DEG X 5D RADIUS WT 7.92 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,16,18,0,0,BB,2340
bb_fgp,,,INDUC BEND,9001826CTD,INDUCTION BEND 45 DEG X 5D RADIUS WT 8.74 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,20,20,0,0,BB,2350
bb_fgp,,,INDUC BEND,9001827CTD,INDUCTION BEND 45 DEG X 5D RADIUS WT 9.53 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,24,24,0,0,BB,2360
bb_fgp,,,INDUC BEND,9001828CTD,INDUCTION BEND 45 DEG X 5D RADIUS WT 10.31 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,28,28,0,0,BB,2370
bb_fgp,,,FLANGE,5563383,FLG WN 1500# RF 2-1/4CR F22M WT 33.0MM,1500F22,20,20,0,0,BB,2020
bb_fgp,U04,,INDUC BEND,9007004CTD,INDUCTION BEND 45DEG X 10D RADIUS WT 7.92 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,18,18,0,0,BB,2380
bb_fgp,U04,,INDUC BEND,9007005CTD,INDUCTION BEND 45DEG X 10D RADIUS WT 8.74 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,20,20,0,0,BB,2390
bb_fgp,U04,,INDUC BEND,9007008CTD,INDUCTION BEND 45DEG X 10D RADIUS WT 9.53 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,24,24,0,0,BB,2400
bb_fgp,U04,,INDUC BEND,9007019CTD,INDUCTION BEND 45DEG X 15D RADIUS WT 7.92 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,18,18,0,0,BB,2410
bb_fgp,U04,,INDUC BEND,9007020CTD,INDUCTION BEND 45DEG X 15D RADIUS WT 8.74 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,20,20,0,0,BB,2420
bb_fgp,U04,,INDUC BEND,9007023CTD,INDUCTION BEND 45DEG X 15D RADIUS WT 9.53 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,24,24,0,0,BB,2430
bb_fgp,,,INDUC BEND,9001830CTD,INDUCTION BEND 22.5 DEG X 5D RADIUS WT 6.02 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,4,4,0,0,BB,2440
bb_fgp,,,INDUC BEND,9001833CTD,INDUCTION BEND 22.5 DEG X 5D RADIUS WT 6.35 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,6,10,0,0,BB,2450
bb_fgp,,,INDUC BEND,9001834CTD,INDUCTION BEND 22.5 DEG X 5D RADIUS WT 7.14 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,12,14,0,0,BB,2460
bb_fgp,,,INDUC BEND,9001835CTD,INDUCTION BEND 22.5 DEG X 5D RADIUS WT 7.92 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,16,18,0,0,BB,2470
bb_fgp,,,FLANGE,5563385,FLG WN 1500# RF 2-1/4CR F22M WT 38.5MM,1500F22,24,24,0,0,BB,2030
bb_fgp,,,INDUC BEND,9001836CTD,INDUCTION BEND 22.5 DEG X 5D RADIUS WT 8.74 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,20,20,0,0,BB,2480
bb_fgp,,,INDUC BEND,9001837CTD,INDUCTION BEND 22.5 DEG X 5D RADIUS WT 9.53 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,24,24,0,0,BB,2490
bb_fgp,,,INDUC BEND,9001838CTD,INDUCTION BEND 22.5 DEG X 5D RADIUS WT 10.31 MM API 5L X60 C/W 1.5D TANGENT ENDS BW COATED,300K5A,28,28,0,0,BB,2500
bb_fgp,,,,,,300K5A,,,,,BB,2510
bb_fgp,,,,,***** OLETS ABOVE & BELOW GROUND****,300K5A,,,,,BB,2510
bb_fgp,,,,,,300K5A,,,,,BB,2520
bb_fgp,,,OLETS,9006400,WELDOLET WT 6.02 MM / SCH 160 LTCS A694 F60,300K5A,0.75,0.75,4,4,BB,2520
bb_fgp,U04,,OLETS,9006219,WELDOLET WT 6.02MM/SCH XS LTCS A694 F60,300K5A,1,1.5,4,4,BB,2530
bb_fgp,,,OLETS,9002450,WELDOLET WT 6.35 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,6,10,BB,2540
bb_fgp,,,OLETS,9006407,WELDOLET WT 6.35 MM/XS WT LTCS A694 F60,300K5A,1,2,6,10,BB,2550
bb_fgp,,,FLANGE,5563429,FLG WN 1500# RF 2-1/4CR F22M WT 47.5MM MANUFACTURERS STANDARD,1500F22,30,30,0,0,BB,2040
bb_fgp,,,OLETS,9006409,WELDOLET WT 6.35 MM/STD WT LTCS A694 F60,300K5A,3,3,8,10,BB,2560
bb_fgp,,,OLETS,9006817,WELDOLET WT 7.14 MM/ SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,12,14,BB,2570
bb_fgp,,,OLETS,9006413,WELDOLET WT 7.14 MM/XS WT LTCS A694 F60,300K5A,1,2,12,14,BB,2580
bb_fgp,,,OLETS,9006412,WELDOLET WT 7.14 MM/STD WT LTCS A694 F60,300K5A,3,3,12,14,BB,2590
