id,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,thickness_min_mm,thickness_max_mm,content
0,150A20,ASME B31.3,-40 / 200,Alloy 20,1/2 - 4,2.77 - 3.91,45AW,N,,150A20,2.77,3.91,Pipe line class 150A20. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Alloy 20. Diameter 1/2 - 4 in. Thickness range 2.77 - 3.91 mm. WPS number 45AW. PWHT N.
1,150A80,ASME B31.3,-40 / 230,Incoloy 825 (NACE),3/4 - 12,3.91 - 7.11,51AW,N,,150A80,3.91,7.11,Pipe line class 150A80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material Incoloy 825 (NACE). Diameter 3/4 - 12 in. Thickness range 3.91 - 7.11 mm. WPS number 51AW. PWHT N.
2,150C80,ASME B31.3,-40 / 200,Incoloy 825,1/2-3 Solid,3.68 - 5.49,51AW,N,,150C80,3.68,5.49,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Incoloy 825. Diameter 1/2-3 Solid in. Thickness range 3.68 - 5.49 mm. WPS number 51AW. PWHT N.
3,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 625 internal cladding,4 - 16,9.27 - 11.13,81AW,N see Note (7),,150C80,9.27,11.13,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 4 - 16 in. Thickness range 9.27 - 11.13 mm. WPS number 81AW. PWHT N see Note (7).
4,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825 internal cladding,4 - 18,6.02 - 7.92,Contact MI Engineer,N see Note (7),,150C80,6.02,7.92,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825 internal cladding. Diameter 4 - 18 in. Thickness range 6.02 - 7.92 mm. WPS number Contact MI Engineer. PWHT N see Note (7).
5,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825/625 internal cladding,18 - 48,9.53 - 12.70,Contact MI Engineer,N see Note (7),,150C80,9.53,12.7,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825/625 internal cladding. Diameter 18 - 48 in. Thickness range 9.53 - 12.70 mm. WPS number Contact MI Engineer. PWHT N see Note (7).
6,150CP2,ASME B31.3,-40 / 150,LTCS PTFE Lined,1/2 - 24,,,,Flanged connections,150CP2,,,Pipe line class 150CP2. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS PTFE Lined. Diameter 1/2 - 24 in. Comments Flanged connections.
7,150H21,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.73 - 7.82,"20AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",150H21,3.73,7.82,"Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2""."
8,150H21,ASME B31.3,-40 / 343,LTCS NACE,14 - 48,7.92 - 12.70,21AW,N,,150H21,7.92,12.7,Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 14 - 48 in. Thickness range 7.92 - 12.70 mm. WPS number 21AW. PWHT N.
9,150H21,ASME B31.3,-40 / 343,LTCS NACE,24,19.05,21PW,Y,,150H21,19.05,19.05,Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 24 in. Thickness range 19.05 mm. WPS number 21PW. PWHT Y.
10,150H23,ASME B31.3,-40 / 215,LTCS NACE,1/2 - 3,7.47 - 11.07,20AW,N,,150H23,7.47,11.07,Pipe line class 150H23. Design code ASME B31.3. Design temperature range -40 / 215 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 7.47 - 11.07 mm. WPS number 20AW. PWHT N.
11,150H23,ASME B31.3,-40 / 215,LTCS NACE,> 3,8.56 - 12.70,21AW,N,,150H23,8.56,12.7,Pipe line class 150H23. Design code ASME B31.3. Design temperature range -40 / 215 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 8.56 - 12.70 mm. WPS number 21AW. PWHT N.
12,150H25 (A),ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.91 - 7.82,20PW,Y,"For service codes CC, CCS, DCS. SW only for legacy lines < 2""",150H25A,3.91,7.82,"Pipe line class 150H25 (A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 20PW. PWHT Y. Comments For service codes CC, CCS, DCS. SW only for legacy lines < 2""."
13,150H25 (A),ASME B31.3,-40 / 343,LTCS NACE,> 3,7.92 - 12.70,21PW,Y,"For service codes CC, CCS, DCS. SW only for legacy lines < 2""",150H25A,7.92,12.7,"Pipe line class 150H25 (A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 7.92 - 12.70 mm. WPS number 21PW. PWHT Y. Comments For service codes CC, CCS, DCS. SW only for legacy lines < 2""."
14,150H25 (B),ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.91 - 7.82,"20AW, for SW see Note (2)",N,"For service codes CC, CCS, DCS use 150H25 (A). SW only for legacy lines < 2""",150H25B,3.91,7.82,"Pipe line class 150H25 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments For service codes CC, CCS, DCS use 150H25 (A). SW only for legacy lines < 2""."
15,150H25 (B),ASME B31.3,-40 / 343,LTCS NACE,> 3,7.92 - 12.70,21AW,N,"For service codes CC, CCS, DCS use 150H25 (A). SW only for legacy lines < 2""",150H25B,7.92,12.7,"Pipe line class 150H25 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 7.92 - 12.70 mm. WPS number 21AW. PWHT N. Comments For service codes CC, CCS, DCS use 150H25 (A). SW only for legacy lines < 2""."
16,150H26,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.91 - 5.54,20AW,N,,150H26,3.91,5.54,Pipe line class 150H26. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number 20AW. PWHT N.
17,150H26,ASME B31.3,-40 / 343,LTCS NACE,> 3,6.02 - 10.00,21AW,N,,150H26,6.02,10,Pipe line class 150H26. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.02 - 10.00 mm. WPS number 21AW. PWHT N.
18,150H2G,ASME B31.3,-40 / 150,LTCS Galv/Scrd,< 3,5.54 - 7.14,,,Threaded connections,150H2G,5.54,7.14,Pipe line class 150H2G. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS Galv/Scrd. Diameter < 3 in. Thickness range 5.54 - 7.14 mm. Comments Threaded connections.
19,150H2G,ASME B31.3,-40 / 150,LTCS Galv,≥ 3,7.62 - 9.53,"21AW, Note (3)",N,Welded,150H2G,7.62,9.53,"Pipe line class 150H2G. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS Galv. Diameter ≥ 3 in. Thickness range 7.62 - 9.53 mm. WPS number 21AW, Note (3). PWHT N. Comments Welded."
20,150H5E,ASME B31.8,-40 / 75,LTCS,1/2 - 3,3.73 - 5.54,"F-001AW, Note (6)",N,,150H5E,3.73,5.54,"Pipe line class 150H5E. Design code ASME B31.8. Design temperature range -40 / 75 deg C. Material LTCS. Diameter 1/2 - 3 in. Thickness range 3.73 - 5.54 mm. WPS number F-001AW, Note (6). PWHT N."
21,150H5E,ASME B31.8,-40 / 75,LTCS  - API 5L X60 (SMLS),6 - 8,6.35,"F-002AW, Note (6)",N,,150H5E,6.35,6.35,"Pipe line class 150H5E. Design code ASME B31.8. Design temperature range -40 / 75 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 6 - 8 in. Thickness range 6.35 mm. WPS number F-002AW, Note (6). PWHT N."
22,150J20,ASME B31.3,-40 / 180,LTCS NACE,3/4 - 3,5.49 - 8.74,20AW,N,,150J20,5.49,8.74,Pipe line class 150J20. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 5.49 - 8.74 mm. WPS number 20AW. PWHT N.
23,150J20,ASME B31.3,-40 / 180,LTCS NACE,> 3,6.02 - 9.53,21AW,N,,150J20,6.02,9.53,Pipe line class 150J20. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.02 - 9.53 mm. WPS number 21AW. PWHT N.
24,150K21,ASME B31.3,-40 / 232,LTCS NACE,1/2 - 3,3.73 - 8.74,"20PW, for SW see Note (2)",Y,,150K21,3.73,8.74,"Pipe line class 150K21. Design code ASME B31.3. Design temperature range -40 / 232 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.73 - 8.74 mm. WPS number 20PW, for SW see Note (2). PWHT Y."
25,150K21,ASME B31.3,-40 / 232,LTCS NACE,> 3,6.02 - 25.4,21PW,Y,,150K21,6.02,25.4,Pipe line class 150K21. Design code ASME B31.3. Design temperature range -40 / 232 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.02 - 25.4 mm. WPS number 21PW. PWHT Y.
26,150K23,ASME B31.3,-40 / 200,LTCS NACE,3/4 - 3,7.62 - 11.07,20PW,Y,,150K23,7.62,11.07,Pipe line class 150K23. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 7.62 - 11.07 mm. WPS number 20PW. PWHT Y.
